Country latitude	longitude	distance_from_france	is_from_france	alim_ssssgrp_nom_fr	alim_ssgrp_nom_fr	alim_grp_nom_fr	Nb_scans	Nb_unique_scans
Bangladesh	24.4768783	90.2932426	7951.561843418617	0	fruits crus	fruits	fruits, légumes, légumineuses et oléagineux	0	0.0
Bangladesh	24.4768783	90.2932426	7951.561843418617	0	fruits et leurs produits de la Martinique	fruits	fruits, légumes, légumineuses et oléagineux	0	0.0
Bangladesh	24.4768783	90.2932426	7951.561843418617	0	plats de céréales/pâtes	plats composés	entrées et plats composés	0	0.0
Belarus	53.4250605	27.6971358	1982.4208447807416	0	sauces condimentaires	sauces	aides culinaires et ingrédients divers	1	1.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre autres matières grasses	autres matières grasses	matières grasses	1	1.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre beurres	beurres	matières grasses	127	86.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre biscuits apéritifs	biscuits apéritifs	produits céréaliers	59	39.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre biscuits sucrés	biscuits sucrés	produits sucrés	334	212.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre chocolats et produits à base de chocolat	chocolats et produits à base de chocolat	produits sucrés	448	270.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre confiseries non chocolatées	confiseries non chocolatées	produits sucrés	30	20.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre denrées destinées à une alimentation particulière	denrées destinées à une alimentation particulière	aides culinaires et ingrédients divers	458	314.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre gâteaux et pâtisseries	gâteaux et pâtisseries	produits sucrés	15	6.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre laits	laits	produits laitiers et assimilés	290	161.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre légumes	légumes	fruits, légumes, légumineuses et oléagineux	1	1.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre pizzas, tartes et crêpes salées	pizzas, tartes et crêpes salées	entrées et plats composés	2	1.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre poissons crus	poissons crus	viandes, œufs, poissons et assimilés	1	1.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre pommes de terre et autres tubercules	pommes de terre et autres tubercules	fruits, légumes, légumineuses et oléagineux	421	266.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre produits laitiers frais et assimilés	produits laitiers frais et assimilés	produits laitiers et assimilés	154	91.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre produits sucrés	Autre produits sucrés	produits sucrés	54	31.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre produits à base de poissons et produits de la mer	produits à base de poissons et produits de la mer	viandes, œufs, poissons et assimilés	4	4.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre sauces	sauces	aides culinaires et ingrédients divers	5	1.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre sels	sels	aides culinaires et ingrédients divers	0	0.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre soupes	soupes	entrées et plats composés	19	14.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	Autre viennoiseries	viennoiseries	produits sucrés	45	17.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	abats	viandes cuites	viandes, œufs, poissons et assimilés	35	17.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	autres desserts	produits laitiers frais et assimilés	produits laitiers et assimilés	0	0.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	autres fromages et spécialités	fromages et assimilés	produits laitiers et assimilés	210	123.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	autres viandes	viandes cuites	viandes, œufs, poissons et assimilés	286	198.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	biscottes et pains grillés	pains et assimilés	produits céréaliers	1	1.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	boissons rafraîchissantes sans alcool	boissons sans alcool	eaux et autres boissons	518	280.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	boissons végétales	boissons sans alcool	eaux et autres boissons	8197	5119.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	boissons à reconstituer	boissons sans alcool	eaux et autres boissons	155	104.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	café, thé, cacao etc. prêts à consommer	boissons sans alcool	eaux et autres boissons	137	75.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	compotes et assimilés	fruits	fruits, légumes, légumineuses et oléagineux	1	1.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	desserts lactés	produits laitiers frais et assimilés	produits laitiers et assimilés	192	119.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	desserts végétaux	produits laitiers frais et assimilés	produits laitiers et assimilés	47	27.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	dinde	viandes cuites	viandes, œufs, poissons et assimilés	87	64.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	fromage fondus	fromages et assimilés	produits laitiers et assimilés	12	4.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	fromages blancs	produits laitiers frais et assimilés	produits laitiers et assimilés	60	29.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	fromages à pâte molle	fromages et assimilés	produits laitiers et assimilés	28	6.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	fromages à pâte persillée	fromages et assimilés	produits laitiers et assimilés	42	24.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	fromages à pâte pressée	fromages et assimilés	produits laitiers et assimilés	50	21.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	fruits crus	fruits	fruits, légumes, légumineuses et oléagineux	119	69.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	fruits et leurs produits de la Martinique	fruits	fruits, légumes, légumineuses et oléagineux	79	50.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	fruits et leurs produits de la Réunion	fruits	fruits, légumes, légumineuses et oléagineux	19	12.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	herbes fraîches	herbes	aides culinaires et ingrédients divers	11	7.0
Belgium	50.6402809	4.666714499999999	493.6148335237018	0	jambons cuits	charcuteries et assimilés	viandes, œufs, poissons et assimilés	17	12.0
